trade_date,ticker,price
2024-01-01,VTI,150.44122748688505
2024-01-02,VTI,150.11035733499097
2024-01-03,VTI,152.54112852199873
2024-01-04,VTI,152.28903639239564
2024-01-05,VTI,152.39864623397384
2024-01-06,VTI,153.9811273510354
2024-01-07,VTI,153.07189494617916
2024-01-08,VTI,152.48025828824888
2024-01-09,VTI,152.6678615140859
2024-01-10,VTI,152.33799155630655
2024-01-11,VTI,151.14522694388475
2024-01-12,VTI,150.94035043329717
2024-01-13,VTI,150.5815214862959
2024-01-14,VTI,151.1849930889054
2024-01-15,VTI,149.52020455943372
2024-01-16,VTI,148.82002552174376
2024-01-17,VTI,149.97141653123094
2024-01-18,VTI,151.82874753846224
2024-01-19,VTI,150.31756798077387
2024-01-20,VTI,150.96241549166666
